"#"	"Ticker"	"Company"	"Transfer Agent"	"Online Purchase?"	"Investor Relations"	"IR Phone #"
473	"CFG"	"Citizens Financial Group"	"Computershare"	"No"	""	""
171	"CLF"	"Cleveland-Cliffs"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
459	"CLX"	"Clorox"	"Computershare"	"Yes"	"investorrelations@clorox.com"	""
451	"CMS"	"CMS Energy"	"EQ Shareowner Services"	"Yes"	"investrel@cmsenergy.com"	""
93	"KO"	"Coca-Cola"	"Computershare"	"Yes"	"koinvestorrelations@coca-cola.com"	""
194	"CTSH"	"Cognizant Technology Solutions"	"American Stock Transfer & Trust Co."	"No"	"tyler.scott@cognizant.com"	""
437	"COIN"	"Coinbase Global"	"Computershare"	"No"	"investor@coinbase.com"	""
211	"CL"	"Colgate-Palmolive"	"Computershare"	"Yes"	"investor_relations@colpal.com"	""
28	"CMCSA"	"Comcast"	"EQ Shareowner Services"	"No"	""	""
484	"CMC"	"Commercial Metals"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
405	"COMM"	"CommScope Holding"	"American Stock Transfer & Trust Co."	"No"	""	""
304	"CYH"	"Community Health Systems"	"American Stock Transfer & Trust Co."	"No"	""	""
495	"COMP"	"Compass"	"Computershare"	"No"	""	""
331	"CAG"	"Conagra Brands"	"EQ Shareowner Services"	"No"	"ir@conagra.com"	""
77	"COP"	"ConocoPhillips"	"Computershare"	"Yes"	"investor.relations@conocophillips.com"	""
276	"ED"	"Consolidated Edison"	"Computershare"	"No"	"investorrelations@coned.com"	""
403	"STZ"	"Constellation Brands"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"joseph.suarez@cbrands.com"	""
263	"GLW"	"Corning"	"Computershare"	"Yes"	"amber.wohlfarth@owenscorning.com"	""
237	"CTVA"	"Corteva"	"Computershare"	"Yes"	""	""
11	"COST"	"Costco Wholesale"	"Computershare"	"Yes"	"investor@costco.com"	""
286	"CCK"	"Crown Holdings"	"EQ Shareowner Services"	"Yes"	""	""
298	"CSX"	"CSX"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"investors@csx.com"	""
149	"CMI"	"Cummins"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"investor.relations@cummins.com"	""
4	"CVS"	"CVS Health"	"EQ Shareowner Services"	"Yes"	"investorinfo@cvshealth.com"	""
124	"DHI"	"D.R. Horton"	"American Stock Transfer & Trust Co."	"No"	"investorrelations@drhorton.com"	""
391	"DAN"	"Dana"	"EQ Shareowner Services"	"No"	""	""
118	"DHR"	"Danaher"	"Computershare"	"Yes"	"investor.relations@danaher.com"	""
465	"DRI"	"Darden Restaurants"	"EQ Shareowner Services"	"Yes"	""	""
323	"DVA"	"DaVita"	"Computershare"	"No"	""	""
344	"DCP"	"DCP Midstream"	"American Stock Transfer & Trust Co."	"No"	""	""
84	"DE"	"Deere"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	""	""
346	"DK"	"Delek US Holdings"	"American Stock Transfer & Trust Co."	"No"	""	""
31	"DELL"	"Dell Technologies"	"American Stock Transfer & Trust Co."	"No"	"investor_relations@dell.com"	""
113	"DAL"	"Delta Air Lines"	"EQ Shareowner Services"	"No"	"investorrelations@delta.com"	""
309	"DVN"	"Devon Energy"	"Computershare"	"Yes"	"investor.relations@dvn.com"	""
479	"FANG"	"Diamondback Energy"	"Computershare"	"No"	"ir@diamondbackenergy.com"	""
307	"DKS"	"Dick's Sporting Goods"	"American Stock Transfer & Trust Co."	"No"	""	""
488	"DDS"	"Dillard's"	"Computershare"	"No"	""	""
281	"DFS"	"Discover Financial Services"	"Computershare"	"Yes"	"investorrelations@discover.com"	""
205	"DISH"	"DISH Network"	"Computershare"	"No"	""	""
106	"DG"	"Dollar General"	"EQ Shareowner Services"	"Yes"	""	""
137	"DLTR"	"Dollar Tree"	"Computershare"	"No"	""	""
257	"D"	"Dominion Energy"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"investor.relations@dominionenergy.com"	""
433	"DOV"	"Dover"	"Computershare"	"Yes"	""	""
64	"DOW"	"Dow"	"Computershare"	"Yes"	"ir@dow.com"	""
239	"DTE"	"DTE Energy"	"EQ Shareowner Services"	"No"	"investor_relations@dteenergy.com"	""
145	"DUK"	"Duke Energy"	"Duke Energy"	"No"	"investduk@duke-energy.com"	""
213	"DD"	"DuPont"	"Computershare"	"Yes"	""	""
207	"DXC"	"DXC Technology"	"EQ Shareowner Services"	"No"	"investor.relations@dxc.com"	""
349	"EMN"	"Eastman Chemical"	"American Stock Transfer & Trust Co."	"Yes"	""	""
301	"EBAY"	"eBay"	"Computershare"	"Yes"	"ir@ebay.com"	""
293	"ECL"	"Ecolab"	"Computershare"	"No"	"investor.info@ecolab.com"	""
243	"EIX"	"Edison International"	"EQ Shareowner Services"	"Yes"	"sam.ramraj@edisonintl.com"	""
122	"LLY"	"Eli Lilly"	"EQ Shareowner Services"	"Yes"	""	""
357	"EME"	"EMCOR Group"	"Computershare"	"Yes"	""	""
199	"EMR"	"Emerson Electric"	"Computershare"	"Yes"	"investor.relations@emerson.com"	""
54	"ET"	"Energy Transfer"	"American Stock Transfer & Trust Co."	"No"	"investorrelations@energytransfer.com"	""
485	"ENLC"	"EnLink Midstream"	"American Stock Transfer & Trust Co."	"No"	""	""
321	"ETR"	"Entergy"	"EQ Shareowner Services"	"Yes"	"investorrelations@entergy.com"	""
89	"EPD"	"Enterprise Products Partners"	"EQ Shareowner Services"	"No"	"investor.relations@eprod.com"	""
193	"EOG"	"EOG Resources"	"Computershare"	"No"	"eog_ir@eogresources.com"	""
487	"EQIX"	"Equinix"	"Computershare"	"Yes"	"invest@equinix.com"	""
336	"EQH"	"Equitable Holdings"	"Computershare"	"No"	""	""
368	"ERIE"	"Erie Insurance Group"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
228	"EL"	"Estée Lauder"	"Computershare"	"Yes"	"irdept@estee.com"	""
358	"ES"	"Eversource Energy"	"Computershare"	"Yes"	"melissa.cameron@eversource.com"	""
99	"EXC"	"Exelon"	"EQ Shareowner Services"	"Yes"	"investorrelations@exeloncorp.com"	""
404	"EXPE"	"Expedia Group"	"Computershare"	"Yes"	""	""
225	"EXPD"	"Expeditors Intl. of Washington"	"Computershare"	"No"	""	""
6	"XOM"	"Exxon Mobil"	"Computershare"	"Yes"	"shareholderrelations@exxonmobil.com"	""
33	"FNMA"	"Fannie Mae"	"Computershare"	"No"	""	""
264	"N/a"	"Farmers Insurance Exchange"	"Non-public shares"	"N/a"	""	""
39	"FDX"	"FedEx"	"Computershare"	"Yes"	"ir@fedex.com"	""
238	"FNF"	"Fidelity National Financial"	"Continental Stock Transfer & Trust Co."	"No"	""	""
268	"FIS"	"Fidelity National Information Services"	"Computershare"	"Yes"	""	""
415	"FITB"	"Fifth Third Bancorp"	"American Stock Transfer & Trust Co."	"Yes"	"ir@53.com"	""
383	"FAF"	"First American Financial"	"EQ Shareowner Services"	"Yes"	""	""
343	"FE"	"FirstEnergy"	"American Stock Transfer & Trust Co."	"No"	"prezeliji@firstenergycorp.com"	""
227	"FISV"	"Fiserv"	"EQ Shareowner Services"	"No"	"investor.relations@fiserv.com"	""
259	"FLR"	"Fluor"	"Computershare"	"No"	""	""
418	"N/a"	"FM Global"	"Non-public shares"	"N/a"	""	""
390	"FL"	"Foot Locker"	"Computershare"	"No"	""	""
22	"F"	"Ford Motor"	"Computershare"	"Yes"	"fordir@ford.com"	""
444	"FBIN"	"Fortune Brands Home & Security"	"EQ Shareowner Services"	"No"	""	""
287	"FOX"	"Fox"	"Computershare"	"No"	""	""
411	"BEN"	"Franklin Resources"	"Computershare"	"Yes"	""	""
56	"FMCC"	"Freddie Mac"	"Computershare"	"No"	""	""
157	"FCX"	"Freeport-McMoRan"	"Computershare"	"Yes"	"ir@fmi.com"	""
499	"FYBR"	"Frontier Communications"	"Computershare"	"No"	""	""
220	"GPS"	"Gap"	"EQ Shareowner Services"	"No"	""	""
94	"GD"	"General Dynamics"	"Computershare"	"No"	"investorrelations@generaldynamics.com"	""
48	"GE"	"General Electric"	"EQ Shareowner Services"	"Yes"	"investor@ge.com"	""
201	"GIS"	"General Mills"	"EQ Shareowner Services"	"Yes"	""	""
25	"GM"	"General Motors"	"Computershare"	"No"	""	""
191	"GPC"	"Genuine Parts"	"Computershare"	"No"	"investor_relations@genpt.com"	""
434	"GNW"	"Genworth Financial"	"Computershare"	"Yes"	""	""
129	"GILD"	"Gilead Sciences"	"Computershare"	"Yes"	"investor_relations@gilead.com"	""
280	"GLP"	"Global Partners"	"American Stock Transfer & Trust Co."	"No"	""	""
407	"GPN"	"Global Payments"	"Computershare"	"No"	"investor.relations@globalpay.com"	""
57	"GS"	"Goldman Sachs Group"	"Computershare"	"No"	"gs-investor-relations@gs.com"	""
209	"GT"	"Goodyear Tire & Rubber"	"Computershare"	"Yes"	""	""
466	"GPK"	"Graphic Packaging Holding"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
399	"N/a"	"Graybar Electric"	"Non-public shares"	"N/a"	""	""
273	"GPI"	"Group 1 Automotive"	"American Stock Transfer & Trust Co."	"No"	""	""
247	"N/a"	"Guardian Life Ins. Co. of America"	"Non-public shares"	"N/a"	""	""
430	"GXO"	"GXO Logistics"	"Computershare"	"No"	""	""
241	"HAL"	"Halliburton"	"Computershare"	"Yes"	"investors@halliburton.com"	""
458	"HBI"	"Hanesbrands"	"Computershare"	"Yes"	""	""
160	"HIG"	"Hartford Financial Services Group"	"Computershare"	"Yes"	""	""
496	"HAS"	"Hasbro"	"Computershare"	"Yes"	""	""
62	"HCA"	"HCA Healthcare"	"EQ Shareowner Services"	"No"	"int.contact@hcahealthcare-ir.com"	""
299	"HSIC"	"Henry Schein"	"Continental Stock Transfer & Trust Co."	"No"	""	""
388	"HSY"	"Hershey"	"Computershare"	"Yes"	"investorrelations@hersheys.com"	""
462	"HTZ"	"Hertz Global Holdings"	"Computershare"	"No"	""	""
447	"HES"	"Hess"	"Computershare"	"No"	"investorrelations@hess.com"	""
123	"HPE"	"Hewlett Packard Enterprise"	"EQ Shareowner Services"	"No"	""	""
197	"DINO"	"HF Sinclair"	"EQ Shareowner Services"	"Yes"	""	""
17	"HD"	"Home Depot"	"Computershare"	"Yes"	"investor_relations@homedepot.com"	""
105	"HON"	"Honeywell International"	"EQ Shareowner Services"	"No"	"investorrelations@honeywell.com"	""
327	"HRL"	"Hormel Foods"	"EQ Shareowner Services"	"No"	"ir@hormel.com"	""
59	"HPQ"	"HP"	"EQ Shareowner Services"	"No"	""	""
40	"HUM"	"Humana"	"American Stock Transfer & Trust Co."	"No"	"lstamper@humana.com"	""
370	"HII"	"Huntington Ingalls Industries"	"Computershare"	"No"	"huntington.investor.relations@huntington.com"	""
410	"HUN"	"Huntsman"	"Computershare"	"Yes"	""	""
49	"IBM"	"IBM"	"Computershare"	"Yes"	"infoibm@us.ibm.com"	""
328	"IEP"	"Icahn Enterprises"	"Computershare"	"No"	""	""
252	"ITW"	"Illinois Tool Works"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	"investorrelations@itw.com"	""
476	"INGR"	"Ingredion"	"Computershare"	"No"	""	""
373	"NSIT"	"Insight Enterprises"	"EQ Shareowner Services"	"No"	""	""
46	"INTC"	"Intel"	"Computershare"	"Yes"	"investor.relations@intel.com"	""
384	"ICE"	"Intercontinental Exchange"	"Computershare"	"Yes"	"investors@theice.com"	""
322	"IFF"	"International Flavors & Fragrances"	"American Stock Transfer & Trust Co."	"No"	"michael.deveau@iff.com"	""
164	"IP"	"International Paper"	"Computershare"	"Yes"	""	""
353	"IPG"	"Interpublic Group"	"Computershare"	"Yes"	""	""
366	"INTU"	"Intuit"	"American Stock Transfer & Trust Co."	"No"	"investor_relations@intuit.com"	""
269	"IQV"	"IQVIA Holdings"	"American Stock Transfer & Trust Co."	"No"	"ir@iqvia.com"	""
311	"JBHT"	"J.B. Hunt Transport Services"	"Computershare"	"Yes"	"investors@jbhunt.com"	""
426	"SJM"	"J.M. Smucker"	"Computershare"	"Yes"	""	""
119	"JBL"	"Jabil"	"Computershare"	"Yes"	""	""
395	"JXN"	"Jackson Financial"	"EQ Shareowner Services"	"No"	""	""
262	"J"	"Jacobs Engineering Group"	"American Stock Transfer & Trust Co."	"No"	""	""
387	"JEF"	"Jefferies Financial Group"	"American Stock Transfer & Trust Co."	"No"	""	""
37	"JNJ"	"Johnson & Johnson"	"Computershare"	"No"	""	""
303	"N/a"	"Jones Financial (Edward Jones)"	"Non-public shares"	"N/a"	""	""
185	"JLL"	"Jones Lang LaSalle"	"Computershare"	"Yes"	""	""
24	"JPM"	"JPMorgan Chase"	"Computershare"	"Yes"	"jpmcinvestorrelations@jpmchase.com"	""
460	"KBR"	"KBR"	"American Stock Transfer & Trust Co."	"No"	""	""
258	"K"	"Kellogg"	"Broadridge Corporate Issuer Solutions, Inc."	"Yes"	"investor.relations@kellogg.com"	""
296	"KDP"	"Keurig Dr Pepper"	"Computershare"	"Yes"	"ir@keurig.com"	""
449	"KEY"	"KeyCorp"	"Computershare"	"No"	""	""
182	"KMB"	"Kimberly-Clark"	"Computershare"	"Yes"	"kc.investorrelations@kcc.com"	""
223	"KMI"	"Kinder Morgan"	"Computershare"	"Yes"	"km_ir@kindermorgan.com"	""
138	"KKR"	"KKR"	"American Stock Transfer & Trust Co."	"No"	"investor-relations@kkr.com"	""
474	"KLAC"	"KLA"	"Computershare"	"Yes"	"kevin.kessel@kla.com"	""
183	"KSS"	"Kohl's"	"EQ Shareowner Services"	"Yes"	""	""
139	"KHC"	"Kraft Heinz"	"EQ Shareowner Services"	"Yes"	"ir@kraftheinz.com"	""
21	"KR"	"Kroger"	"EQ Shareowner Services"	"No"	"kroger.ir@kroger.com"	""
206	"LHX"	"L3Harris Technologies"	"Computershare"	"No"	""	""
230	"LH"	"Laboratory Corp. of America"	"American Stock Transfer & Trust Co."	"No"	"investor@labcorp.com"	""
250	"LRCX"	"Lam Research"	"Computershare"	"No"	"investor.relations@lamresearch.com"	""
232	"N/a"	"Land O'Lakes"	"Non-public shares"	"N/a"	""	""
491	"LSTR"	"Landstar System"	"Computershare"	"Yes"	""	""
186	"LEA"	"Lear"	"Computershare"	"Yes"	""	""
274	"LDOS"	"Leidos Holdings"	"Computershare"	"No"	""	""
131	"LEN"	"Lennar"	"Computershare"	"Yes"	"ian.frazer@lennar.com"	""
326	"LSXMA"	"Liberty Media"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
78	"N/a"	"Liberty Mutual Insurance Group"	"Non-public shares"	"N/a"	""	""
187	"LNC"	"Lincoln National"	"Computershare"	"Yes"	""	""
158	"LAD"	"Lithia Motors"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
283	"LKQ"	"LKQ"	"Broadridge Corporate Issuer Solutions, Inc."	"No"	""	""
55	"LMT"	"Lockheed Martin"	"Computershare"	"Yes"	"greg.m.gardner@lmco.com"	""
246	"L"	"Loews"	"Computershare"	"No"	""	""
35	"LOW"	"Lowe's"	"Computershare"	"Yes"	"investorrelations@lowes.com"	""
442	"LPLA"	"LPL Financial Holdings"	"Computershare"	"No"	"investor.relations@lplfinancial.com"	""
179	"LUMN"	"Lumen Technologies"	"Computershare"	"Yes"	""	""
144	"M"	"Macy's"	"Computershare"	"Yes"	""	""
167	"MAN"	"ManpowerGroup"	"Computershare"	"No"	""	""
19	"MPC"	"Marathon Petroleum"	"Computershare"	"Yes"	"ir@marathonpetroleum.com"	""
289	"MKL"	"Markel"	"American Stock Transfer & Trust Co."	"No"	"investorrelations@markelcorp.com"	""
270	"MAR"	"Marriott International"	"Computershare"	"Yes"	"investorrelations@marriott.com"	""
177	"MMC"	"Marsh & McLennan"	"EQ Shareowner Services"	"Yes"	"mmc.investor.relations@mmc.com"	""
413	"MAS"	"Masco"	"Computershare"	"No"	""	""
100	"N/a"	"Massachusetts Mutual Life"	"Non-public shares"	"N/a"	""	""
429	"MTZ"	"MasTec"	"American Stock Transfer & Trust Co."	"No"	""	""
190	"MA"	"Mastercard"	"EQ Shareowner Services"	"No"	"investor.relations@mastercard.com"	""
152	"MCD"	"McDonald's"	"Computershare"	"Yes"	""	""
